Hgt_km	Lat	LonW	Temp_K	 Pres_Pa	Dens_kgm3	Uwind	Vwind
5.167	-10.3	195.5	88.05	1.13E+05	4.35E+00	-0.28	0
5.191	-10.3	195.5	88.03	1.13E+05	4.35E+00	-0.27	0
5.214	-10.3	195.5	88.01	1.13E+05	4.35E+00	-0.26	0
5.237	-10.3	195.5	87.98	1.13E+05	4.34E+00	-0.26	0
5.261	-10.3	195.5	87.96	1.13E+05	4.34E+00	-0.25	0
5.284	-10.3	195.5	87.94	1.12E+05	4.33E+00	-0.24	0
5.308	-10.3	195.5	87.91	1.12E+05	4.33E+00	-0.23	0
5.331	-10.3	195.5	87.89	1.12E+05	4.32E+00	-0.23	0
5.355	-10.3	195.5	87.86	1.12E+05	4.32E+00	-0.22	0
5.378	-10.3	195.5	87.84	1.12E+05	4.32E+00	-0.21	0
5.402	-10.3	195.5	87.82	1.12E+05	4.31E+00	-0.2	0
5.425	-10.3	195.5	87.78	1.12E+05	4.31E+00	-0.19	0
5.449	-10.3	195.5	87.76	1.12E+05	4.30E+00	-0.19	0
5.500	-10.3	195.5	87.72	1.11E+05	4.29E+00	-0.17	0
5.524	-10.3	195.5	87.72	1.11E+05	4.29E+00	-0.16	0
5.547	-10.3	195.5	87.69	1.11E+05	4.29E+00	-0.15	0
5.571	-10.3	195.5	87.65	1.11E+05	4.28E+00	-0.15	0
5.595	-10.3	195.5	87.63	1.11E+05	4.28E+00	-0.14	0
5.618	-10.3	195.5	87.61	1.11E+05	4.27E+00	-0.13	0
5.642	-10.3	195.5	87.6	1.10E+05	4.27E+00	-0.12	0
5.666	-10.3	195.5	87.59	1.10E+05	4.26E+00	-0.11	0
5.690	-10.3	195.5	87.57	1.10E+05	4.26E+00	-0.11	0
5.713	-10.3	195.5	87.55	1.10E+05	4.25E+00	-0.1	0
5.737	-10.3	195.5	87.54	1.10E+05	4.25E+00	-0.09	0
5.761	-10.3	195.5	87.51	1.10E+05	4.25E+00	-0.08	0
5.785	-10.3	195.5	87.48	1.10E+05	4.24E+00	-0.07	0
5.809	-10.3	195.5	87.46	1.09E+05	4.24E+00	-0.07	0
5.832	-10.3	195.5	87.42	1.09E+05	4.23E+00	-0.06	0
5.856	-10.3	195.5	87.4	1.09E+05	4.23E+00	-0.05	0
5.880	-10.3	195.5	87.37	1.09E+05	4.22E+00	-0.04	0
5.904	-10.3	195.5	87.35	1.09E+05	4.22E+00	-0.04	0
5.928	-10.3	195.5	87.33	1.09E+05	4.22E+00	-0.03	0
5.952	-10.3	195.5	87.31	1.09E+05	4.21E+00	-0.02	0
5.975	-10.3	195.5	87.31	1.09E+05	4.21E+00	-0.01	0
5.999	-10.3	195.5	87.29	1.08E+05	4.20E+00	0	0
6.023	-10.3	195.5	87.27	1.08E+05	4.20E+00	0	0
6.047	-10.3	195.5	87.24	1.08E+05	4.19E+00	0.01	0
6.071	-10.3	195.5	87.21	1.08E+05	4.19E+00	0.02	0
6.094	-10.3	195.5	87.19	1.08E+05	4.18E+00	0.03	0
6.118	-10.3	195.5	87.18	1.08E+05	4.18E+00	0.04	0
6.170	-10.3	195.5	87.15	1.07E+05	4.17E+00	0.05	0
6.194	-10.3	195.5	87.13	1.07E+05	4.17E+00	0.06	0
6.218	-10.3	195.5	87.1	1.07E+05	4.16E+00	0.07	0
6.242	-10.3	195.5	87.08	1.07E+05	4.16E+00	0.08	0
6.266	-10.3	195.5	87.06	1.07E+05	4.15E+00	0.09	0
6.290	-10.3	195.5	87.04	1.07E+05	4.15E+00	0.09	0
6.314	-10.3	195.5	87.02	1.07E+05	4.15E+00	0.1	0
6.338	-10.3	195.5	86.99	1.06E+05	4.14E+00	0.11	0
6.362	-10.3	195.5	86.96	1.06E+05	4.14E+00	0.12	0
6.386	-10.3	195.5	86.94	1.06E+05	4.13E+00	0.13	0
6.410	-10.3	195.5	86.92	1.06E+05	4.13E+00	0.14	0
6.434	-10.3	195.5	86.89	1.06E+05	4.13E+00	0.14	0
6.458	-10.3	195.5	86.86	1.06E+05	4.12E+00	0.15	0
6.483	-10.3	195.5	86.83	1.06E+05	4.12E+00	0.16	0
6.507	-10.3	195.5	86.79	1.06E+05	4.11E+00	0.17	0
6.531	-10.3	195.5	86.76	1.05E+05	4.11E+00	0.17	0
6.555	-10.3	195.5	86.74	1.05E+05	4.11E+00	0.18	0
6.579	-10.3	195.5	86.7	1.05E+05	4.10E+00	0.19	0
6.631	-10.3	195.5	86.64	1.05E+05	4.09E+00	0.21	0
6.655	-10.3	195.5	86.63	1.05E+05	4.09E+00	0.22	0
6.679	-10.3	195.5	86.61	1.05E+05	4.08E+00	0.22	0
